"Year","State","Commodity","Measurement","Unit","Domain","Category","Value"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(AZOXYSTROBIN = 128810)","1,800"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(BOSCALID = 128008)","2,300"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CALCIUM POLYSULFIDE = 76702)","20,200"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CAPTAN = 81301)","44,000"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CHLOROTHALONIL = 81901)","3,900"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CYPRODINIL = 288202)","1,900"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(FENBUCONAZOLE = 129011)","500"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(FLUDIOXONIL = 71503)","1,300"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(METCONAZOLE = 125619)","400"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(MONO-POTASSIUM SALT = 76416)","9,300"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(PYRACLOSTROBIN = 99100)","1,200"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(TOTAL)","91,400"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(CLETHODIM = 121011)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(DIURON = 35505)","1,700"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(FLUMIOXAZIN = 129034)","700"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(GLUFOSINATE-AMMONIUM = 128850)","5,400"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(GLYPHOSATE ISO. SALT = 103601)","7,500"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(ORYZALIN = 104201)","4,000"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(PARAQUAT = 61601)","2,500"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(SIMAZINE = 80807)","3,900"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(TOTAL)","29,800"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(ACETAMIPRID = 99050)","200"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(BIFENTHRIN = 128825)","700"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(DIAZINON = 57801)","2,900"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(ESFENVALERATE = 109303)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(MALATHION = 57701)","9,800"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(METHOMYL = 90301)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(PHOSMET = 59201)","4,000"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(SPINOSAD = 110003)","100"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(TOTAL)","19,300"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(ZETA-CYPERMETHRIN = 129064)","300"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","OTHER","(TOTAL)","3,700"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(AZOXYSTROBIN = 128810)","5,000"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(BOSCALID = 128008)","1,200"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CALCIUM POLYSULFIDE = 76702)","30,000"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CAPTAN = 81301)","26,300"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CHLOROTHALONIL = 81901)","4,300"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CYPRODINIL = 288202)","1,800"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(FENBUCONAZOLE = 129011)","2,500"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(FLUDIOXONIL = 71503)","1,000"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(METCONAZOLE = 125619)","1,700"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(MONO-POTASSIUM SALT = 76416)","13,500"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(PYRACLOSTROBIN = 99100)","600"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(TOTAL)","121,100"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(CLETHODIM = 121011)","700"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(DIURON = 35505)","13,200"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(FLUMIOXAZIN = 129034)","1,300"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(GLUFOSINATE-AMMONIUM = 128850)","500"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(GLYPHOSATE ISO. SALT = 103601)","300"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(ORYZALIN = 104201)"," (D)"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(PARAQUAT = 61601)","3,400"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(SIMAZINE = 80807)","10,800"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(TOTAL)","50,900"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(ACETAMIPRID = 99050)","900"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(BIFENTHRIN = 128825)","2,700"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(DIAZINON = 57801)"," (D)"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(ESFENVALERATE = 109303)","800"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(FENPROPATHRIN = 127901)","400"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(MALATHION = 57701)","6,600"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(METHOMYL = 90301)","14,100"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(PHOSMET = 59201)","30,600"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(SPINOSAD = 110003)","200"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(TOTAL)","60,600"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(ZETA-CYPERMETHRIN = 129064)","1,100"
2019,"MICHIGAN","BLUEBERRIES","APPLICATIONS","LB","OTHER","(TOTAL)","29,600"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(AZOXYSTROBIN = 128810)","2,400"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(BOSCALID = 128008)"," (D)"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CALCIUM POLYSULFIDE = 76702)"," (D)"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CAPTAN = 81301)","7,900"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CHLOROTHALONIL = 81901)"," (D)"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CYPRODINIL = 288202)"," (D)"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(FENBUCONAZOLE = 129011)","1,600"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(FLUDIOXONIL = 71503)"," (D)"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(METCONAZOLE = 125619)","700"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(MONO-POTASSIUM SALT = 76416)"," (D)"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(PYRACLOSTROBIN = 99100)"," (D)"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(TOTAL)","36,300"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(CLETHODIM = 121011)"," (D)"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(DIURON = 35505)","1,600"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(FLUMIOXAZIN = 129034)"," (D)"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(GLUFOSINATE-AMMONIUM = 128850)"," (D)"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(GLYPHOSATE ISO. SALT = 103601)"," (D)"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(ORYZALIN = 104201)","11,500"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(PARAQUAT = 61601)","500"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(SIMAZINE = 80807)","3,800"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(TOTAL)","32,700"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(ACETAMIPRID = 99050)","500"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(BIFENTHRIN = 128825)"," (D)"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(DIAZINON = 57801)"," (D)"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(ESFENVALERATE = 109303)"," (Z)"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(FENPROPATHRIN = 127901)"," (D)"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(MALATHION = 57701)"," (D)"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(METHOMYL = 90301)","2,000"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(PHOSMET = 59201)","10,300"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(SPINOSAD = 110003)"," (D)"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(TOTAL)","19,800"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(ZETA-CYPERMETHRIN = 129064)"," (Z)"
2019,"NEW JERSEY","BLUEBERRIES","APPLICATIONS","LB","OTHER","(TOTAL)","200"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(AZOXYSTROBIN = 128810)"," (D)"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CALCIUM POLYSULFIDE = 76702)","8,600"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CAPTAN = 81301)","11,100"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CYPRODINIL = 288202)"," (D)"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(FENBUCONAZOLE = 129011)","800"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(FLUDIOXONIL = 71503)"," (D)"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(METCONAZOLE = 125619)"," (D)"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(MONO-POTASSIUM SALT = 76416)"," (D)"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(PYRACLOSTROBIN = 99100)"," (D)"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(TOTAL)","23,000"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(CLETHODIM = 121011)"," (D)"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(DIURON = 35505)"," (D)"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(FLUMIOXAZIN = 129034)","800"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(GLUFOSINATE-AMMONIUM = 128850)"," (D)"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(GLYPHOSATE ISO. SALT = 103601)","900"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(ORYZALIN = 104201)","700"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(PARAQUAT = 61601)","200"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(TOTAL)","6,500"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(ACETAMIPRID = 99050)"," (D)"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(BIFENTHRIN = 128825)"," (D)"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(ESFENVALERATE = 109303)","200"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(FENPROPATHRIN = 127901)","1,200"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(MALATHION = 57701)","11,800"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(METHOMYL = 90301)"," (D)"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(PHOSMET = 59201)"," (D)"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(SPINOSAD = 110003)"," (D)"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(TOTAL)","14,900"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(ZETA-CYPERMETHRIN = 129064)","200"
2019,"NORTH CAROLINA","BLUEBERRIES","APPLICATIONS","LB","OTHER","(TOTAL)","9,100"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(AZOXYSTROBIN = 128810)","1,000"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(BOSCALID = 128008)"," (D)"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CALCIUM POLYSULFIDE = 76702)"," (D)"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CAPTAN = 81301)","20,100"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CHLOROTHALONIL = 81901)"," (D)"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CYPRODINIL = 288202)","1,900"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(FENBUCONAZOLE = 129011)","400"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(FLUDIOXONIL = 71503)","1,300"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(METCONAZOLE = 125619)"," (D)"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(MONO-POTASSIUM SALT = 76416)","1,000"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(PYRACLOSTROBIN = 99100)"," (D)"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(TOTAL)","48,900"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(CLETHODIM = 121011)","300"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(DIURON = 35505)","3,100"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(FLUMIOXAZIN = 129034)","600"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(GLUFOSINATE-AMMONIUM = 128850)","2,400"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(GLYPHOSATE ISO. SALT = 103601)","1,500"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(ORYZALIN = 104201)","1,300"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(PARAQUAT = 61601)","2,500"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(SIMAZINE = 80807)","8,500"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(TOTAL)","24,900"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(ACETAMIPRID = 99050)"," (Z)"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(BIFENTHRIN = 128825)","400"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(DIAZINON = 57801)","300"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(ESFENVALERATE = 109303)","100"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(FENPROPATHRIN = 127901)"," (D)"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(MALATHION = 57701)","9,300"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(METHOMYL = 90301)","1,000"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(PHOSMET = 59201)"," (D)"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(SPINOSAD = 110003)","1,600"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(TOTAL)","16,400"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(ZETA-CYPERMETHRIN = 129064)","300"
2019,"OREGON","BLUEBERRIES","APPLICATIONS","LB","OTHER","(TOTAL)","24,100"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(AZOXYSTROBIN = 128810)"," (D)"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(BOSCALID = 128008)","2,900"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CALCIUM POLYSULFIDE = 76702)","13,500"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CAPTAN = 81301)","66,600"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CHLOROTHALONIL = 81901)","22,600"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CYPRODINIL = 288202)","1,800"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(FENBUCONAZOLE = 129011)","600"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(FLUDIOXONIL = 71503)","1,200"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(METCONAZOLE = 125619)","900"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(PYRACLOSTROBIN = 99100)","1,500"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(TOTAL)","126,500"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(CLETHODIM = 121011)"," (D)"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(DIURON = 35505)"," (D)"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(FLUMIOXAZIN = 129034)"," (D)"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(GLUFOSINATE-AMMONIUM = 128850)","21,100"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(GLYPHOSATE ISO. SALT = 103601)"," (D)"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(ORYZALIN = 104201)"," (D)"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(PARAQUAT = 61601)","1,900"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(SIMAZINE = 80807)","9,100"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(TOTAL)","39,700"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(ACETAMIPRID = 99050)"," (D)"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(BIFENTHRIN = 128825)","1,000"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(DIAZINON = 57801)","1,700"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(ESFENVALERATE = 109303)"," (D)"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(FENPROPATHRIN = 127901)","3,400"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(MALATHION = 57701)"," (D)"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(METHOMYL = 90301)","4,000"
2019,"WASHINGTON","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(PHOSMET = 59201)","10,900"
